row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,58,42,73,53,72,38,88,1967,1987
2,6/2/14,58,46,70,52,70,42,84,1971,1961
3,6/3/14,62,52,73,51,70,40,82,1986,1999
4,6/5/14,62,57,66,52,72,42,84,1958,1984
5,6/6/14,66,55,77,52,70,42,88,1964,1968
6,6/7/14,67,57,77,53,72,43,88,1958,1984
7,6/8/14,69,57,81,54,74,45,92,1960,1984
8,6/9/14,63,57,69,55,74,43,92,1980,1984
9,6/10/14,66,62,69,54,75,42,92,1957,1984
10,6/11/14,63,60,66,55,72,39,91,1980,1984
11,6/11/14,66,60,72,54,75,40,92,1980,1973
12,6/12/14,62,57,69,55,72,41,88,1980,1983
13,6/13/14,65,60,71,54,72,44,90,1979,1983
14,6/14/14,68,57,78,55,73,46,90,1970,2005
15,6/15/14,67,55,80,55,75,39,91,1978,1988
16,6/16/14,64,55,73,57,75,43,94,1961,1957
17,6/17/14,66,61,71,57,74,45,91,1965,1957
18,6/18/14,74,64,86,57,74,39,86,1958,2014
19,6/19/14,68,62,73,58,76,37,88,1997,1975
20,6/20/14,64,54,77,58,76,46,89,1959,2012
21,6/21/14,60,51,71,57,76,46,91,1970,1964
22,6/22/14,62,53,71,57,76,46,87,1963,1965
23,6/23/14,63,54,72,58,75,48,89,1992,1983
24,6/24/14,64,55,73,57,77,47,91,1958,1983
25,6/25/14,70,64,75,58,76,49,89,1979,1963
26,6/26/14,74,64,82,58,76,47,87,1986,1963
27,6/27/14,70,59,81,58,76,49,94,1965,1980
28,6/28/14,64,54,75,59,77,49,89,1970,2001
29,6/29/14,64,55,73,59,77,49,95,1970,1991
30,6/30/14,70,64,78,60,77,49,95,1988,1964
31,7/1/14,72,66,78,59,78,47,95,1988,1964
32,7/2/14,74,69,80,59,78,50,91,1962,1966
33,7/3/14,74,69,81,60,79,49,97,1957,1966
34,7/5/14,71,62,80,61,78,49,100,1979,1999
35,7/6/14,68,57,81,60,78,49,100,1979,2010
36,7/7/14,72,66,77,60,79,49,91,1960,1981
37,7/8/14,74,68,81,60,80,52,92,1960,1981
38,7/9/14,74,69,82,62,82,52,94,1963,1981
