row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,60,45,77,54,75,39,95,1967,1937
2,6/2/14,67,54,80,53,76,43,89,1946,1934
3,6/3/14,70,57,84,53,76,37,97,1986,1919
4,6/4/14,68,62,75,53,75,41,97,1984,1925
5,6/5/14,65,61,70,53,75,44,96,1944,1925
6,6/6/14,66,59,75,53,76,40,96,1964,1925
7,6/7/14,68,55,82,54,74,42,98,1958,1999
8,6/8/14,70,57,84,55,75,43,95,1932,1984
9,6/9/14,66,62,70,55,78,42,97,1957,2008
10,6/10/14,70,62,78,55,76,42,97,1955,2008
11,6/11/14,64,60,70,55,79,40,96,1980,1984
12,6/12/14,66,60,71,54,79,39,96,1980,1984
13,6/13/14,66,64,70,55,77,42,94,1979,1956
14,6/14/14,66,57,77,56,76,45,98,1980,1956
15,6/15/14,66,53,78,56,78,41,96,1953,1956
16,6/16/14,68,54,82,57,80,42,98,1961,1988
17,6/17/14,74,63,86,58,79,42,95,1926,1957
18,6/18/14,78,70,84,59,78,40,94,1958,1957
19,6/19/14,74,66,84,60,78,43,93,1956,1923
20,6/20/14,66,55,77,60,80,45,97,1959,2012
21,6/21/14,65,53,78,58,79,46,96,1940,1953
22,6/22/14,68,57,78,59,80,41,95,1940,1921
23,6/23/14,69,57,82,59,81,45,93,1940,1988
24,6/24/14,70,61,81,58,80,47,93,1932,2003
25,6/25/14,74,64,84,59,80,49,95,1979,1943
26,6/26/14,76,69,86,57,78,46,100,1979,1952
27,6/27/14,72,61,82,59,80,49,95,1940,1966
28,6/28/14,72,59,86,59,81,42,95,1980,1969
29,6/29/14,72,61,84,60,81,45,98,1980,1934
30,6/30/14,74,63,86,61,83,44,100,1988,1964
31,7/1/14,78,68,88,61,83,46,101,1988,1964
32,7/2/14,80,71,90,60,81,45,96,1962,2002
33,7/3/14,78,69,88,61,81,46,99,1957,1966
34,7/4/14,68,63,73,62,84,49,99,1986,1919
35,7/5/14,72,62,81,61,81,48,100,1979,1999
36,7/6/14,72,59,84,61,81,47,102,1963,2010
37,7/7/14,78,69,87,60,81,45,99,1960,2010
38,7/8/14,78,68,90,62,83,33,97,1996,1936
39,7/9/14,78,70,87,63,85,45,97,1963,1937
40,7/10/14,74,66,82,64,86,48,100,1963,1936
41,7/11/14,73,64,84,63,85,51,97,2002,1911
42,7/12/14,75,64,87,62,84,48,97,1945,1987
43,7/13/14,75,68,82,62,81,52,95,1933,1966
44,7/14/14,76,72,79,63,83,52,97,1940,1954
45,7/15/14,76,72,82,63,84,52,94,1950,1984
46,7/16/14,74,68,80,64,85,50,97,1946,1999
47,7/17/14,72,64,82,64,87,49,100,1946,1999
48,7/18/14,68,57,80,64,86,51,100,1956,1999
49,7/19/14,68,60,77,65,86,52,100,1956,1991
50,7/20/14,70,61,79,63,85,50,100,1929,1991
51,7/21/14,72,61,82,64,84,46,101,1966,1991
52,7/22/14,77,66,89,63,85,52,102,1944,2011
53,7/23/14,79,70,89,62,84,49,98,1977,2011
54,7/24/14,70,59,84,62,84,51,98,1923,1991
55,7/25/14,70,59,82,63,83,52,97,1953,1987
56,7/26/14,72,64,82,62,82,49,96,1984,1963
57,7/27/14,75,68,82,62,82,49,95,1977,1964
58,7/28/14,74,68,82,62,82,49,96,1977,1931
59,7/29/14,70,64,75,63,82,52,96,1977,1933
60,7/30/14,69,60,79,63,85,48,98,1968,1988
61,7/31/14,72,61,82,62,82,49,97,1956,1988
62,8/1/14,74,66,84,63,82,50,97,1964,1933
63,8/2/14,67,62,73,62,83,50,98,1947,2006
64,8/3/14,67,61,73,65,85,48,102,1956,1975
65,8/4/14,73,64,84,65,85,47,99,1964,1975
66,8/5/14,75,63,87,64,84,52,101,1951,1955
67,8/6/14,73,64,82,62,84,33,95,1996,1931
68,8/7/14,68,57,81,63,83,47,98,1957,2001
69,8/8/14,68,55,82,63,82,47,98,1957,2001
70,8/9/14,70,57,84,63,83,51,102,1944,2001
71,8/10/14,72,61,86,63,83,43,100,1964,1949
72,8/11/14,72,62,84,62,82,46,98,1963,1944
73,8/12/14,72,63,81,62,81,49,98,1963,1944
74,8/13/14,70,66,73,60,79,46,98,1957,2005
75,8/14/14,68,60,75,61,82,46,97,1941,1988
76,8/15/14,63,57,69,61,82,46,95,1963,1944
77,8/16/14,65,55,77,61,82,47,96,1968,1988
78,8/17/14,71,64,80,61,82,46,95,1979,1944
79,8/18/14,68,57,79,61,82,45,97,1941,1987
80,8/19/14,66,52,80,58,81,44,95,1963,1966
81,8/20/14,71,60,82,58,79,46,96,1944,1937
82,8/21/14,72,64,79,57,80,43,97,1984,1955
83,8/22/14,68,66,71,60,82,41,93,1982,1976
84,8/23/14,68,61,75,57,79,43,92,1957,1976
85,8/24/14,67,54,80,58,80,45,93,1940,1947
86,8/25/14,72,57,87,59,79,38,95,1940,1948
87,8/26/14,74,62,87,62,84,48,97,1945,1987
88,8/27/14,76,64,89,60,80,46,98,1940,1948
89,8/28/14,72,64,80,61,82,46,98,1925,1993
90,8/29/14,65,55,77,60,82,38,98,1982,1953
91,8/30/14,65,55,78,59,80,39,97,1982,1953
92,8/31/14,77,70,84,59,79,38,98,1965,1953
93,9/1/14,78,69,87,56,79,45,98,1963,1973
94,9/2/14,80,71,90,58,80,43,101,1967,1953
95,9/3/14,74,64,82,57,78,42,96,1967,1953
96,9/4/14,72,57,86,57,77,45,95,1946,1929
97,9/5/14,76,66,87,56,77,42,95,1963,1973
98,9/6/14,79,66,90,56,77,43,90,1962,1943
99,9/7/14,71,63,79,55,78,34,92,1984,1945
100,9/8/14,64,55,73,54,77,39,95,1962,1983
101,9/9/14,64,55,72,55,75,33,92,1996,1959
102,9/10/14,66,57,75,53,76,35,95,1956,1931
103,9/11/14,70,61,78,53,76,40,94,1963,1931
104,9/12/14,65,55,73,53,76,38,93,1958,1961
105,9/13/14,59,52,66,52,76,33,91,1996,1948
106,9/14/14,58,51,68,54,75,35,92,1963,1931
107,9/15/14,58,46,69,52,74,37,89,1963,1981
108,9/16/14,60,53,70,51,74,34,92,1964,1941
109,9/17/14,59,46,72,50,74,33,91,1984,1991
110,9/18/14,,,,52,74,37,92,1956,1991
111,9/19/14,54,46,64,53,73,32,87,1959,1946
112,9/20/14,60,46,73,50,73,34,95,1979,1983
113,9/21/14,69,61,77,51,72,30,89,1956,1983
114,9/22/14,62,53,70,50,73,31,92,1962,1970
115,9/23/14,58,45,71,50,71,33,93,1973,1970
116,9/24/14,58,48,70,48,69,29,89,1963,1959
117,9/25/14,59,55,63,47,67,33,90,1950,2007
118,9/26/14,65,55,75,46,68,34,90,1925,1958
119,9/27/14,66,50,82,46,70,29,86,1957,1998
120,9/28/14,69,54,84,47,70,29,84,1957,2014
121,9/29/14,67,61,75,46,69,29,86,1957,1945
122,9/30/14,64,59,64,44,69,31,85,1951,1922
123,10/1/14,60,57,62,45,68,34,89,1925,1927
124,10/2/14,59,54,64,46,68,33,87,1960,1922
125,10/3/14,57,45,69,47,68,33,83,1945,1922
126,10/4/14,60,55,66,45,65,27,86,1945,1959
127,10/5/14,52,45,60,44,67,30,88,1965,1941
128,10/6/14,54,42,66,43,67,26,89,1965,1959
129,10/7/14,62,52,72,43,68,22,88,1984,1963
130,10/8/14,66,57,72,42,65,27,84,1964,2007
131,10/9/14,57,48,68,44,66,30,84,1953,2011
132,10/10/14,52,41,63,42,65,26,89,1980,1949
133,10/11/14,48,43,53,41,62,26,86,1943,1955
134,10/12/14,48,37,61,41,61,25,88,1956,1928
135,10/13/14,51,39,64,42,63,28,87,1957,1954
136,10/14/14,68,60,75,42,63,26,82,1958,1954
137,10/15/14,70,64,77,42,63,29,83,1980,1956
138,10/16/14,66,59,72,41,63,26,84,1961,1947
139,10/17/14,64,57,72,40,62,26,87,1937,1938
140,10/18/14,62,57,68,40,60,24,79,1978,1928
141,10/19/14,48,39,55,38,60,21,81,1974,1945
142,10/20/14,45,35,55,37,59,20,80,1974,1947
143,10/21/14,54,45,66,39,61,19,82,1972,1920
144,10/22/14,52,48,55,37,61,22,80,1940,2007
145,10/23/14,52,50,54,39,61,25,86,1980,2002
146,10/24/14,52,45,55,37,61,21,79,1969,1978
147,10/25/14,54,43,66,38,60,24,79,1982,1963
148,10/26/14,51,45,57,38,58,23,80,1952,1963
149,10/27/14,52,42,62,37,55,23,80,1950,1947
150,10/28/14,55,39,72,36,57,18,78,1940,1971
151,10/29/14,61,50,72,36,59,20,76,1940,1946
152,10/30/14,47,39,57,37,58,26,83,1962,1946
153,10/31/14,43,33,53,34,56,22,82,1983,1946
154,11/1/14,44,42,46,36,58,23,77,1925,1950
155,11/2/14,42,39,48,38,58,24,83,1961,1950
156,11/3/14,46,36,57,37,61,15,79,1980,1982
157,11/4/14,52,37,66,36,56,23,78,1984,1987
158,11/5/14,54,45,64,37,57,21,78,1952,1987
159,11/6/14,46,44,48,36,54,23,72,1954,1948
160,11/7/14,42,37,46,35,53,19,72,1962,1938
161,11/8/14,40,33,46,35,55,15,77,1960,1975
162,11/9/14,46,35,55,35,54,19,76,2003,1975
163,11/10/14,45,30,60,35,53,19,76,1980,1931
164,11/11/14,50,37,63,34,54,17,71,1956,1985
165,11/12/14,53,42,63,33,50,21,66,1996,1927
166,11/13/14,42,34,48,32,49,21,72,1920,1964
167,11/14/14,37,33,41,32,49,20,71,1986,1959
168,11/15/14,32,26,39,31,49,17,72,1933,1973
169,11/16/14,34,25,42,33,52,14,72,1933,1990
170,11/17/14,38,36,39,33,51,6,72,1924,1928
171,11/18/14,34,24,43,33,51,15,73,1936,1963
172,11/19/14,27,21,33,31,50,12,71,1924,1941
173,11/20/14,38,30,45,31,48,12,72,1996,1942
174,11/21/14,30,24,35,32,49,13,70,1987,1931
175,11/22/14,30,19,43,29,46,14,72,1987,1931
176,11/23/14,48,39,57,30,46,10,75,1972,1931
177,11/24/14,54,42,66,30,47,12,71,1989,1992
178,11/25/14,54,41,66,29,48,12,69,1938,1979
179,11/26/14,39,32,46,29,47,7,74,1938,1979
180,11/27/14,34,32,36,29,49,10,67,1932,1979
181,11/28/14,30,25,35,30,47,13,64,1932,2003
182,11/29/14,26,19,35,32,50,13,69,1940,1990
183,11/30/14,44,33,54,29,46,11,69,1929,1933
184,12/1/14,50,37,62,28,44,10,70,1936,2001
185,12/2/14,36,33,39,28,45,7,64,1989,1970
186,12/3/14,40,33,46,28,44,5,67,1940,2009
187,12/4/14,35,27,43,28,44,2,71,1906,1998
188,12/5/14,30,24,37,25,41,3,71,1976,1982
189,12/6/14,36,34,37,25,41,10,71,1949,2001
190,12/7/14,29,21,37,25,45,3,75,1964,1998
191,12/8/14,22,18,27,25,44,5,63,1964,1966
192,12/9/14,33,27,39,25,42,5,62,1968,1966
193,12/10/14,36,33,39,24,41,2,67,1949,1946
194,12/11/14,32,30,35,24,42,-2,64,1958,1971
195,12/12/14,33,30,36,24,40,2,64,1988,1931
196,12/13/14,34,27,39,23,40,2,64,1988,1979
197,12/14/14,32,21,44,23,41,2,62,1958,1984
198,12/15/14,38,28,45,22,39,1,60,1960,2008
199,12/16/14,31,25,37,23,40,2,60,1930,1971
200,12/17/14,44,37,51,22,40,-6,64,1942,2000
201,12/18/14,38,36,39,23,39,-6,57,1919,1984
