row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,60,48,75,51,69,44,91,2001,1986
2,6/2/14,66,53,78,51,69,47,88,1984,1989
3,6/3/14,72,60,84,52,70,42,84,1986,2014
4,6/4/14,68,60,75,52,70,46,81,1976,1981
5,6/5/14,66,60,73,53,71,43,86,1990,2005
6,6/6/14,65,57,73,53,71,46,84,1990,1984
7,6/7/14,68,55,81,54,71,46,93,2007,1999
8,6/8/14,70,59,82,54,71,33,93,1998,2011
9,6/9/14,64,61,66,54,72,43,93,1980,2008
10,6/10/14,68,62,77,55,72,44,95,1980,2008
11,6/11/14,63,60,66,55,72,39,91,1980,1984
12,6/12/14,62,57,69,55,72,41,88,1980,1983
13,6/13/14,70,62,77,56,73,46,92,1979,1983
14,6/14/14,64,57,73,56,73,46,96,1979,1988
15,6/15/14,66,54,78,56,73,45,97,1978,1988
16,6/16/14,69,59,79,57,74,48,92,1978,1982
17,6/17/14,74,63,87,57,75,50,87,2003,2000
18,6/18/14,78,71,84,58,75,51,90,1980,2006
19,6/19/14,70,64,75,58,76,50,91,1980,1993
20,6/20/14,67,59,77,65,82,55,98,1959,2012
21,6/21/14,66,57,75,59,77,51,93,2004,2012
22,6/22/14,67,59,77,60,78,51,94,1986,1988
23,6/23/14,68,57,81,66,83,54,95,1972,1965
24,6/24/14,70,61,81,60,78,48,94,2007,1975
25,6/25/14,73,64,82,61,78,47,91,1979,1997
26,6/26/14,76,68,84,61,79,48,92,1979,1982
27,6/27/14,72,63,81,67,84,56,97,1972,2003
28,6/28/14,72,61,84,61,79,53,93,1974,1991
29,6/29/14,71,60,82,61,79,52,94,1988,1991
30,6/30/14,72,61,84,62,79,47,91,1988,2012
31,7/1/14,76,66,86,62,79,52,91,1988,2012
32,7/2/14,78,68,89,68,84,58,101,2001,1966
33,7/3/14,76,68,84,61,79,48,92,2001,1983
34,7/4/14,66,62,73,61,79,53,95,1979,2010
35,7/5/14,70,62,79,61,79,46,96,1979,1999
36,7/6/14,72,61,82,61,79,51,102,1979,2010
37,7/7/14,78,69,89,61,79,49,97,1979,1993
38,7/8/14,78,68,90,61,79,52,95,1979,1988
39,7/9/14,77,70,86,61,79,57,97,1980,1993
40,7/10/14,74,66,82,61,79,35,97,1998,1993
41,7/11/14,74,66,82,61,79,53,94,2002,1988
42,7/12/14,74,63,84,61,79,52,91,1978,1983
43,7/13/14,74,68,81,62,80,55,93,2001,1983
44,7/14/14,76,70,82,62,80,59,93,1999,1997
45,7/15/14,76,70,81,62,80,54,96,1976,1997
46,7/16/14,72,64,79,62,80,58,95,1987,1999
47,7/17/14,71,64,79,62,80,56,99,1987,1977
48,7/18/14,69,59,79,62,80,55,98,1976,2012
49,7/19/14,69,63,75,62,80,55,95,1997,1977
50,7/20/14,70,64,77,70,86,61,101,1997,1991
51,7/21/14,71,61,82,62,80,56,97,1974,1980
52,7/22/14,75,66,84,62,80,54,98,1974,2011
53,7/23/14,78,70,86,62,80,53,94,1977,1978
54,7/24/14,72,66,79,62,80,55,95,1992,1999
55,7/25/14,70,62,79,62,80,55,95,1992,1999
56,7/26/14,70,64,77,62,80,54,93,1976,2005
57,7/27/14,75,66,84,62,80,52,95,1977,1999
58,7/28/14,74,66,82,62,80,52,93,1977,1999
59,7/29/14,67,61,73,63,80,56,93,1977,2002
60,7/30/14,66,55,78,63,80,55,94,2014,1988
61,7/31/14,70,60,80,63,80,57,93,2001,1975
62,8/1/14,72,64,82,70,85,62,100,1947,2006
63,8/2/14,68,63,73,63,80,56,98,1992,1975
64,8/3/14,68,63,73,63,80,58,96,1976,1975
65,8/4/14,74,66,82,63,80,59,93,2013,1989
66,8/5/14,76,64,87,63,80,59,94,1993,1989
67,8/6/14,74,64,82,63,80,53,90,1992,2001
68,8/7/14,70,60,81,63,80,55,95,1979,2001
69,8/8/14,68,57,80,63,80,54,96,1989,1983
70,8/9/14,71,60,84,63,80,52,100,1989,2001
71,8/10/14,74,62,87,63,80,55,93,1989,2001
72,8/11/14,73,62,84,63,80,53,91,1974,1988
73,8/12/14,70,66,77,63,80,53,93,1979,2002
74,8/13/14,71,64,79,63,80,52,93,1979,1988
75,8/14/14,67,61,75,62,79,54,93,1983,1985
76,8/15/14,62,55,70,62,79,33,95,1996,1985
77,8/16/14,67,59,77,62,79,53,93,1979,1997
78,8/17/14,72,62,80,69,84,58,94,1979,1944
79,8/18/14,66,55,77,69,84,59,95,1941,2002
80,8/19/14,69,60,79,61,78,52,89,1977,1983
81,8/20/14,72,63,82,61,78,52,95,2008,1983
82,8/21/14,72,66,80,61,78,48,91,1977,1989
83,8/22/14,68,64,73,68,83,55,93,1982,2003
84,8/23/14,68,64,75,61,77,52,90,1987,1978
85,8/24/14,67,57,77,68,83,55,93,1971,1998
86,8/25/14,72,60,86,60,77,49,92,1987,1993
87,8/26/14,75,64,86,60,77,50,90,1977,1993
88,8/27/14,76,64,88,60,76,53,95,1989,1993
89,8/28/14,71,62,80,60,76,46,95,1986,1993
90,8/29/14,65,55,75,59,76,41,89,1982,2010
91,8/30/14,66,57,77,59,76,47,90,1976,1991
92,8/31/14,78,71,87,59,76,42,91,1976,2010
93,9/1/14,78,73,84,59,75,51,91,1991,2010
94,9/2/14,80,71,90,59,75,47,92,1991,1980
95,9/3/14,75,66,82,59,75,50,93,1976,1993
96,9/4/14,72,61,84,66,80,54,93,1997,1973
97,9/5/14,74,64,84,58,75,48,93,2000,1983
98,9/6/14,79,64,90,58,74,46,98,1988,1983
99,9/7/14,70,62,79,58,74,33,88,1996,1983
100,9/8/14,65,57,75,58,74,45,87,1978,2007
101,9/9/14,63,57,69,57,74,44,88,1990,2002
102,9/10/14,65,57,75,57,73,41,94,1975,1983
103,9/11/14,71,64,79,57,73,47,98,1977,1983
104,9/12/14,64,55,73,56,73,40,90,1977,2005
105,9/13/14,59,54,66,56,72,33,89,1996,2005
106,9/14/14,57,48,66,55,72,42,86,1975,2008
107,9/15/14,60,51,70,55,72,40,87,1975,1993
108,9/16/14,62,55,70,55,71,40,88,1984,1991
109,9/17/14,59,48,71,54,71,42,89,1986,1991
110,9/18/14,62,50,75,54,71,42,82,1990,1992
111,9/19/14,54,48,63,53,70,40,93,1979,1983
112,9/20/14,62,51,73,60,75,46,90,1979,1983
113,9/21/14,68,64,75,52,69,43,85,1991,1980
114,9/22/14,60,51,69,52,69,39,89,1997,1980
115,9/23/14,56,42,71,51,68,38,82,1974,2005
116,9/24/14,60,52,69,59,73,44,89,1974,1959
117,9/25/14,59,57,61,50,67,39,84,1989,2007
118,9/26/14,66,54,78,50,67,37,84,1978,2007
119,9/27/14,70,57,82,49,66,39,87,1989,1998
120,9/28/14,70,57,84,48,66,37,84,1989,2014
121,9/29/14,70,61,80,48,65,35,80,2000,2014
122,9/30/14,63,60,80,47,65,33,84,1999,1986
123,10/1/14,62,59,63,56,71,39,87,1947,1950
124,10/2/14,60,55,68,46,64,37,82,1997,2002
125,10/3/14,58,50,66,46,64,36,80,1974,1983
126,10/4/14,60,52,66,46,63,33,84,1996,2007
127,10/5/14,51,43,59,46,63,33,82,1996,2007
128,10/6/14,54,43,68,46,63,33,86,1984,1997
