row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,60,48,73,52,68,46,94,2001,1987
2,6/2/14,64,51,77,52,69,48,92,2015,1986
3,6/3/14,68,57,79,53,69,46,90,1986,1989
4,6/4/14,66,61,72,53,70,45,87,2004,1989
5,6/5/14,68,62,73,53,70,48,87,1997,1971
6,6/6/14,66,57,77,54,70,51,85,1971,1973
7,6/7/14,67,57,78,54,70,46,87,2002,1999
8,6/8/14,70,57,84,55,71,46,93,2002,1999
9,6/9/14,66,62,72,55,71,40,93,1977,1973
10,6/10/14,70,64,77,59,76,47,96,1983,2008
11,6/11/14,66,62,70,56,71,45,98,1980,1973
12,6/12/14,64,60,70,56,72,46,97,1972,1973
13,6/13/14,70,64,75,57,72,47,95,1974,1983
14,6/14/14,70,61,78,57,73,49,94,1978,1988
15,6/15/14,69,59,79,57,73,48,98,1978,1988
16,6/16/14,69,61,79,58,73,52,95,2002,1988
17,6/17/14,72,63,81,58,74,50,89,2002,2000
18,6/18/14,79,70,88,59,75,51,88,1986,2014
19,6/19/14,70,63,73,59,75,54,91,1986,1975
20,6/20/14,67,55,79,60,76,51,94,2005,1987
21,6/21/14,64,55,73,60,76,48,95,2004,2012
22,6/22/14,66,57,77,61,77,53,93,1992,1988
23,6/23/14,67,57,78,61,77,35,91,2001,1983
24,6/24/14,72,64,80,61,77,50,93,2007,1980
25,6/25/14,73,66,82,62,77,52,93,1979,1980
26,6/26/14,77,66,89,62,78,52,91,1985,1998
27,6/27/14,72,64,81,62,78,48,95,2004,1980
28,6/28/14,70,60,82,62,78,52,95,1974,1983
29,6/29/14,71,60,82,63,78,54,90,1983,1978
30,6/30/14,76,69,82,63,78,51,91,1988,2012
31,7/1/14,78,71,84,63,78,49,90,1988,1987
32,7/2/14,80,73,87,62,78,51,93,1982,1974
33,7/3/14,79,71,88,62,78,33,95,1996,1983
34,7/4/14,70,66,75,62,78,54,99,1986,1990
35,7/5/14,73,64,82,65,82,53,100,1982,1999
36,7/6/14,71,60,84,62,78,53,100,1979,2010
37,7/7/14,77,70,84,62,78,55,98,2006,2010
38,7/8/14,80,70,89,62,78,32,96,1999,1981
39,7/9/14,78,72,86,62,78,55,98,1984,1981
40,7/10/14,75,69,82,62,78,56,97,1983,1981
41,7/11/14,76,69,84,62,78,50,97,2002,1981
42,7/12/14,74,64,84,62,78,53,95,2002,1988
43,7/13/14,77,72,82,63,78,57,94,1990,1979
44,7/14/14,76,73,82,63,78,59,94,1986,1974
45,7/15/14,78,73,82,63,78,33,95,1996,1983
46,7/16/14,76,70,82,63,78,60,97,1987,1977
47,7/17/14,73,66,80,63,78,57,97,2002,1977
48,7/18/14,72,63,84,63,78,58,100,1976,1987
49,7/19/14,70,63,80,63,78,59,100,2000,1977
50,7/20/14,72,64,80,63,78,57,100,2000,1980
51,7/21/14,72,62,82,63,78,56,100,1974,1977
52,7/22/14,76,66,87,63,78,55,101,1974,1991
53,7/23/14,78,73,86,63,78,53,96,2000,1972
54,7/24/14,76,69,82,63,78,39,96,1998,1972
55,7/25/14,71,62,81,63,78,55,100,2002,1987
56,7/26/14,76,72,79,63,78,55,100,2002,1987
57,7/27/14,78,73,84,63,78,53,95,2001,1987
58,7/28/14,78,71,82,63,78,55,94,1977,1979
59,7/29/14,70,64,78,63,78,56,93,1984,1987
60,7/30/14,69,59,79,63,78,57,104,1997,1988
61,7/31/14,72,63,84,63,78,57,103,2001,1988
62,8/1/14,78,71,84,63,78,60,96,1998,1988
63,8/2/14,68,64,75,63,78,37,100,1996,1975
64,8/3/14,69,63,77,67,82,54,97,1956,2006
65,8/4/14,74,66,82,63,78,58,100,1976,1990
66,8/5/14,76,64,88,64,79,54,98,1972,1990
67,8/6/14,76,69,86,64,79,35,95,2004,1988
68,8/7/14,72,63,84,64,79,30,94,2004,1980
69,8/8/14,72,63,82,64,79,39,95,2004,1980
70,8/9/14,70,59,84,65,79,55,96,1989,1980
71,8/10/14,75,64,87,65,79,55,102,2002,2001
72,8/11/14,74,64,86,65,79,53,91,2007,1971
73,8/12/14,74,68,81,65,79,54,98,2006,1988
74,8/13/14,74,68,80,64,79,51,102,2006,1988
75,8/14/14,70,63,78,64,79,35,102,1996,1988
76,8/15/14,66,59,72,64,78,53,96,2013,1988
77,8/16/14,68,59,78,63,78,53,95,1972,1988
78,8/17/14,76,70,82,63,78,55,93,1979,1987
79,8/18/14,72,62,80,63,78,54,98,1979,1990
80,8/19/14,68,57,78,63,78,54,96,1977,1990
81,8/20/14,72,61,82,63,78,55,96,2008,1983
82,8/21/14,72,66,78,62,78,32,96,2001,1983
83,8/22/14,70,64,75,62,77,47,93,1982,1976
84,8/23/14,70,63,75,62,77,54,90,2004,1976
85,8/24/14,66,57,75,62,77,51,93,1971,1980
86,8/25/14,74,60,89,62,77,50,91,1987,1980
87,8/26/14,74,63,84,62,77,51,93,2004,1969
88,8/27/14,75,64,86,61,76,53,94,1969,1980
89,8/28/14,74,66,82,61,76,53,91,1986,1980
90,8/29/14,66,57,78,61,76,45,91,1982,1977
91,8/30/14,72,66,79,60,76,48,93,1986,1977
92,8/31/14,78,73,86,64,79,50,94,1976,2010
93,9/1/14,80,75,87,60,75,50,94,1986,1980
94,9/2/14,80,71,89,63,78,50,99,1949,1953
95,9/3/14,76,66,84,60,75,33,93,1998,1990
96,9/4/14,73,62,84,60,75,32,90,2000,1977
97,9/5/14,78,73,86,59,75,50,90,1989,1983
98,9/6/14,80,72,87,59,74,47,93,1984,1983
99,9/7/14,72,62,82,59,74,33,91,1996,1983
100,9/8/14,68,59,77,59,74,46,92,1984,1990
101,9/9/14,65,57,75,59,74,48,95,1986,1989
102,9/10/14,68,59,78,58,73,46,101,1978,1989
103,9/11/14,74,68,81,58,73,32,98,2001,1983
104,9/12/14,68,59,78,58,73,45,91,2006,1983
105,9/13/14,62,55,71,60,75,46,89,1985,1957
106,9/14/14,61,53,70,57,72,45,87,1978,1981
107,9/15/14,60,50,69,57,72,48,85,1983,1981
108,9/16/14,62,55,69,57,72,37,91,1999,1991
109,9/17/14,59,48,71,56,72,42,92,1984,1991
110,9/18/14,62,48,75,56,71,42,89,1990,1991
111,9/19/14,58,51,64,56,71,43,91,1990,1983
112,9/20/14,64,54,75,55,70,41,92,1979,1983
113,9/21/14,72,66,79,55,70,39,88,1979,1983
114,9/22/14,64,55,73,54,69,39,94,1986,1980
115,9/23/14,60,51,69,54,69,43,94,1991,1970
116,9/24/14,62,52,72,55,71,36,87,1963,1959
117,9/25/14,60,57,63,53,68,41,84,1989,2010
118,9/26/14,68,57,79,52,67,45,82,1974,1970
119,9/27/14,68,55,82,51,67,42,82,1984,1998
120,9/28/14,66,54,78,51,67,39,79,1989,1987
121,9/29/14,70,62,78,50,66,41,85,1976,1990
122,9/30/14,66,62,78,49,66,39,85,1991,1990
123,10/1/14,64,60,64,49,65,40,85,1981,1986
124,10/2/14,62,57,66,48,65,41,81,1997,2013
125,10/3/14,58,48,68,48,65,36,78,1974,1983
126,10/4/14,66,57,71,51,67,34,83,1987,1954
127,10/5/14,54,48,61,47,64,35,81,1996,2002
128,10/6/14,54,39,71,47,64,21,89,2005,1990
